dataset,profile_id,layer_id,profile_code,layer_name,longitude,latitude,country_name,region,continent,date,dataset_id,upper_depth,lower_depth,layer_thickness_cm,organic_surface,BDOD,OrgC,TOTC,OrgC_Stock,TOTC_Stock
WOSIS 2023,1425092,798321,88P0843,2BCt2,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,99,129,30,FALSE,1.54,3.5,16.9,16.17,78.078
WOSIS 2023,1425092,798322,88P0843,2BCt3,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,129,182,53,FALSE,1.69,3.3,17.4,29.558100000000003,155.85179999999997
WOSIS 2023,1425092,798323,88P0843,2BCty,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,US-NCSS,182,210,28,FALSE,1.47,2.3,14.6,9.4668,60.0936
WOSIS 2023,1453074,3351322,N3,NA,-133.428726196289,68.1699142456055,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,1.26,27.4,27.4,51.786,51.786
WOSIS 2023,1453074,3351323,N3,NA,-133.428726196289,68.1699142456055,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.5,14.099999,14.099999,31.724997750000007,31.724997750000007
WOSIS 2023,1453074,3351324,N3,NA,-133.428726196289,68.1699142456055,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.5,14.099999,14.099999,31.724997750000007,31.724997750000007
WOSIS 2023,1453074,3351325,N3,NA,-133.428726196289,68.1699142456055,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.47,15.900001,15.900001,35.059502204999994,35.059502204999994
WOSIS 2023,1492154,635984,05N0268,Oi,-119.295387268066,76.2283325195312,Canada,Northern America,Northern America,????-??-??,US-NCSS,0,10,10,FALSE,0.35,NA,578,NA,202.29999999999998
WOSIS 2023,1492154,635985,05N0268,NA,-119.295387268066,76.2283325195312,Canada,Northern America,Northern America,????-??-??,US-NCSS,10,17,7,FALSE,0.37,NA,456.6,NA,118.2594
WOSIS 2023,1492154,635986,05N0268,Bwjj,-119.295387268066,76.2283325195312,Canada,Northern America,Northern America,????-??-??,US-NCSS,17,53,36,FALSE,1.97,NA,20.4,NA,144.6768
WOSIS 2023,1492154,635987,05N0268,Bgf,-119.295387268066,76.2283325195312,Canada,Northern America,Northern America,????-??-??,US-NCSS,53,68,15,FALSE,1.95,NA,22.1,NA,64.6425
WOSIS 2023,1529276,798291,88P0840,Ap,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,0,15,15,FALSE,1.64,15.9,19.1,39.114,46.986000000000004
WOSIS 2023,1529276,798292,88P0840,Bw1,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,15,27,12,FALSE,1.83,11.8,16,25.912800000000004,35.136
WOSIS 2023,1529276,798293,88P0840,Bw2,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,27,45,18,FALSE,1.86,10.7,16.5,35.8236,55.242000000000004
WOSIS 2023,1529276,798294,88P0840,Bw3,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,45,71,26,FALSE,1.9,8.4,13.7,41.495999999999995,67.678
WOSIS 2023,1529276,798295,88P0840,Bw4,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,71,96,25,FALSE,1.89,5.1,12.1,24.0975,57.1725
WOSIS 2023,1529276,798296,88P0840,Bw5,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,96,132,36,FALSE,1.85,4.2,12.3,27.972,81.918
WOSIS 2023,1529276,798297,88P0840,BC1,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,132,162,30,FALSE,1.88,4.9,13.2,27.636000000000003,74.44800000000001
WOSIS 2023,1529276,798298,88P0840,BC2,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,US-NCSS,162,200,38,FALSE,1.87,5.7,14.8,40.504200000000004,105.1688
WOSIS 2023,1557189,3351326,N4,NA,-133.42399597168,68.17236328125,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,1.02,24.5,24.5,37.485,37.485
WOSIS 2023,1557189,3351327,N4,NA,-133.42399597168,68.17236328125,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.38,5.8999996,5.8999996,12.212999172,12.212999172
WOSIS 2023,1557189,3351328,N4,NA,-133.42399597168,68.17236328125,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.49,6.1000004,6.1000004,13.633500893999999,13.633500893999999
WOSIS 2023,1557189,3351329,N4,NA,-133.42399597168,68.17236328125,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.45,9.4,9.4,20.445,20.445
WOSIS 2023,1599771,817407,91P0895,2Bk,-112.8000031,49.6333350999999,Canada,Northern America,Northern America,1991-7-1,US-NCSS,71,100,29,FALSE,1.76,4.7,NA,23.9888,NA
WOSIS 2023,1627031,3351318,N2,NA,-133.434219360352,68.1687469482422,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,0.99,57.9,57.9,85.9815,85.9815
WOSIS 2023,1627031,3351319,N2,NA,-133.434219360352,68.1687469482422,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.37,38.9,38.9,79.9395,79.9395
WOSIS 2023,1627031,3351320,N2,NA,-133.434219360352,68.1687469482422,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.22,29,29,53.07000000000001,53.07000000000001
WOSIS 2023,1627031,3351321,N2,NA,-133.434219360352,68.1687469482422,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.22,56.6,56.6,103.57800000000002,103.57800000000002
WOSIS 2023,1631106,600533,04N0311,Bw1,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,0,6,6,FALSE,1.7,NA,31.9,NA,32.538
WOSIS 2023,1631106,600534,04N0311,Bw2,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,6,10,4,FALSE,1.72,NA,30.4,NA,20.9152
WOSIS 2023,1631106,600535,04N0311,Bw3,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,10,26,16,FALSE,1.82,NA,31.3,NA,91.1456
WOSIS 2023,1631106,600536,04N0311,Bwjj,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,28,55,27,FALSE,1.52,NA,42.2,NA,173.18880000000001
WOSIS 2023,1631106,600537,04N0311,A,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,0,40,40,FALSE,1.32,NA,52,NA,274.56
WOSIS 2023,1631106,600538,04N0311,Bw4,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,26,60,34,FALSE,1.88,NA,37.3,NA,238.42159999999998
WOSIS 2023,1631106,600540,04N0311,Oafjj,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,US-NCSS,55,70,15,FALSE,1.8,NA,63.1,NA,170.37
WOSIS 2023,1631298,630379,04N0314,A2,-119.5555573,73.2022247,Canada,Northern America,Northern America,2003-6-29,US-NCSS,4,20,16,FALSE,1.76,NA,39,NA,109.824
WOSIS 2023,1631298,630382,04N0314,Bw/Ajj,-119.5555573,73.2022247,Canada,Northern America,Northern America,2003-6-29,US-NCSS,45,88,43,FALSE,1.93,NA,24.2,NA,200.83579999999998
WOSIS 2023,1668457,798310,88P0842,Ap2,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,US-NCSS,10,20,10,FALSE,1.51,52.9,51.3,79.879,77.463
WOSIS 2023,1668457,798311,88P0842,Bt,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,US-NCSS,20,45,25,FALSE,1.78,12.2,16.2,54.29,72.09
WOSIS 2023,1668457,798312,88P0842,Bw1,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,US-NCSS,45,78,33,FALSE,1.77,12.2,20.7,71.2602,120.90869999999998
WOSIS 2023,1668457,798313,88P0842,Bw2,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,US-NCSS,78,106,28,FALSE,1.81,10.7,18.7,54.22760000000001,94.7716
WOSIS 2023,1668457,798314,88P0842,NA,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,US-NCSS,106,142,36,FALSE,1.79,7.7,14.1,49.61880000000001,90.8604
WOSIS 2023,1668457,798315,88P0842,C,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,US-NCSS,142,180,38,FALSE,1.76,7.3,12.1,48.822399999999995,80.92479999999999
WOSIS 2023,1668458,798325,88P0844,Ap1,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,US-NCSS,0,10,10,FALSE,1.4,15.7,18,21.979999999999997,25.2
WOSIS 2023,1668458,798326,88P0844,Ap2,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,US-NCSS,10,20,10,FALSE,1.66,13.6,18.6,22.575999999999997,30.875999999999998
WOSIS 2023,1668458,798327,88P0844,Bw1,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,US-NCSS,20,45,25,FALSE,1.67,9.7,17.1,40.497499999999995,71.39250000000001
WOSIS 2023,1668458,798328,88P0844,Bw2,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,US-NCSS,45,68,23,FALSE,1.74,8.9,14.9,35.6178,59.6298
WOSIS 2023,1668458,798329,88P0844,BCy1,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,US-NCSS,68,101,33,FALSE,1.59,7.1,11.3,37.253699999999995,59.29110000000001
WOSIS 2023,1668458,798330,88P0844,BCy2,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,US-NCSS,101,127,26,FALSE,1.55,7.3,10.3,29.419,41.509
WOSIS 2023,1696197,3351354,S6,NA,-113.648750305176,60.1439437866211,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,1.25,7.1,7,13.3125,13.125
